id_activity	,id_user,Date,Hour
16,261,10/24/2019,12:23
20,102,8/7/2020,21:08
15,275,4/21/2020,12:21
5,29,9/30/2020,14:57
23,8,7/19/2020,2:43
19,163,10/31/2019,10:25
15,135,3/19/2020,1:18
21,330,1/18/2020,0:37
28,44,6/23/2020,9:16
7,193,6/15/2020,3:01
10,242,2/29/2020,10:19
30,327,8/6/2020,9:40
16,242,12/28/2019,21:21
10,214,1/26/2020,7:08
13,22,7/10/2020,8:21
12,318,11/2/2019,19:59
26,64,3/14/2020,1:13
29,146,12/20/2019,14:30
11,238,8/29/2020,19:08
21,52,3/29/2020,4:40
6,184,12/5/2019,5:46
4,380,2/18/2020,9:48
14,147,3/18/2020,21:01
4,132,7/6/2020,20:40
12,130,11/14/2019,3:02
25,259,1/29/2020,18:20
24,292,10/13/2019,10:11
1,367,1/20/2020,10:23
12,124,7/16/2020,13:21
1,236,2/9/2020,9:02
11,78,7/19/2020,6:06
13,341,4/23/2020,7:04
26,314,9/21/2020,4:16
22,75,6/25/2020,6:57
17,39,3/9/2020,18:06
14,281,6/18/2020,22:22
12,246,11/12/2019,13:22
4,108,4/17/2020,5:25
22,46,9/15/2020,0:59
15,151,5/10/2020,11:32
25,228,5/16/2020,21:58
17,229,8/24/2020,10:09
29,140,11/8/2019,23:31
29,129,4/7/2020,21:18
23,360,7/14/2020,5:58
20,153,7/17/2020,19:22
6,210,2/13/2020,22:21
3,132,10/26/2019,19:52
17,158,12/5/2019,12:54
4,155,7/26/2020,19:19
18,155,12/25/2019,7:04
9,170,5/5/2020,0:04
28,341,11/18/2019,15:22
27,344,1/4/2020,4:06
15,193,1/16/2020,13:51
2,114,9/25/2020,10:48
30,180,11/21/2019,8:18
12,182,10/26/2019,9:36
9,61,7/14/2020,0:42
30,152,3/4/2020,10:05
30,227,8/9/2020,18:45
9,218,1/23/2020,17:25
12,150,10/27/2019,11:26
4,220,2/12/2020,16:05
8,98,2/14/2020,0:13
23,80,4/8/2020,20:15
1,185,11/1/2019,17:23
4,50,10/6/2020,4:34
21,280,5/22/2020,8:42
16,246,10/17/2019,15:01
13,134,1/21/2020,6:34
11,393,10/21/2019,2:51
1,118,4/14/2020,9:39
22,229,10/6/2020,18:49
18,283,5/24/2020,15:35
8,71,2/29/2020,11:36
16,245,7/20/2020,5:56
8,97,2/10/2020,21:12
13,365,1/19/2020,16:05
8,1,12/13/2019,13:33
22,40,10/28/2019,11:00
9,23,11/11/2019,20:20
20,138,7/26/2020,21:37
27,374,3/26/2020,21:13
17,45,11/3/2019,4:48
23,89,6/29/2020,8:46
27,45,12/2/2019,16:32
11,246,2/2/2020,22:05
20,192,8/28/2020,17:48
22,141,12/12/2019,0:26
9,283,7/9/2020,17:11
26,251,5/9/2020,21:27
2,120,3/6/2020,6:20
18,31,8/16/2020,14:02
8,234,3/18/2020,16:01
14,338,9/28/2020,7:04
12,354,9/3/2020,17:30
12,362,10/31/2019,11:42
16,92,9/8/2020,14:35
3,400,6/3/2020,2:47
13,224,11/17/2019,3:05
25,315,5/4/2020,18:05
28,165,9/30/2020,0:54
1,142,11/16/2019,15:35
30,81,11/21/2019,6:10
10,148,8/23/2020,20:56
24,321,7/21/2020,20:30
25,59,4/8/2020,19:31
5,17,12/18/2019,7:30
8,340,10/22/2019,7:57
6,22,7/11/2020,6:02
9,344,9/10/2020,1:47
2,169,10/1/2020,11:04
22,220,6/6/2020,13:56
27,112,10/3/2020,2:12
12,158,9/3/2020,11:17
15,105,3/11/2020,13:58
8,345,7/28/2020,6:11
17,329,9/8/2020,6:23
23,86,8/11/2020,9:30
8,315,3/5/2020,8:57
5,188,8/21/2020,0:04
11,53,2/24/2020,10:12
27,373,1/30/2020,20:52
12,79,12/23/2019,14:31
24,280,6/20/2020,20:28
20,395,4/3/2020,20:55
12,372,6/8/2020,10:56
30,124,10/3/2020,13:44
25,22,11/10/2019,7:48
25,210,6/11/2020,21:33
3,74,5/18/2020,21:17
14,197,3/4/2020,15:29
4,209,5/4/2020,3:36
28,317,9/10/2020,4:56
4,91,8/12/2020,2:23
13,250,9/22/2020,12:05
23,317,7/19/2020,11:11
3,324,6/21/2020,20:49
12,327,6/17/2020,16:09
15,360,5/19/2020,22:40
10,27,7/18/2020,5:01
21,55,10/26/2019,20:32
18,303,4/20/2020,22:25
10,40,2/21/2020,0:08
4,199,10/5/2020,18:04
1,388,3/15/2020,18:04
20,278,11/23/2019,3:45
19,284,12/24/2019,19:19
16,222,9/16/2020,11:15
7,215,11/24/2019,17:24
6,151,12/14/2019,8:13
17,253,8/26/2020,10:41
6,77,6/7/2020,14:58
29,248,12/5/2019,5:11
21,256,6/7/2020,14:10
11,17,3/6/2020,1:52
13,308,5/25/2020,6:08
27,132,1/17/2020,22:37
21,370,12/20/2019,13:16
11,14,11/14/2019,18:41
16,322,3/28/2020,16:54
18,301,10/19/2019,20:49
9,268,1/20/2020,13:53
27,166,4/11/2020,22:31
19,304,9/21/2020,14:00
19,367,9/9/2020,21:52
24,51,5/2/2020,22:03
18,96,7/29/2020,3:19
8,345,5/29/2020,5:26
24,103,3/16/2020,2:23
2,270,3/15/2020,5:41
20,375,12/22/2019,12:42
26,337,3/12/2020,15:49
4,218,2/16/2020,21:39
17,137,10/12/2019,23:28
23,399,3/16/2020,2:21
23,227,11/13/2019,4:03
10,245,9/4/2020,18:20
11,139,4/7/2020,21:56
29,278,10/19/2019,14:07
12,182,1/4/2020,4:33
11,330,8/3/2020,17:54
14,146,11/16/2019,4:31
26,159,5/9/2020,21:31
17,350,12/15/2019,21:13
24,122,5/21/2020,14:44
25,374,6/15/2020,14:02
29,380,9/25/2020,13:22
7,315,7/26/2020,11:09
9,76,2/26/2020,4:12
17,78,11/25/2019,1:00
8,23,6/26/2020,21:29
13,241,3/27/2020,20:14
1,200,2/11/2020,18:56
22,274,6/1/2020,20:59
3,314,12/18/2019,18:07
11,209,4/26/2020,12:34
12,30,3/17/2020,0:48
14,45,1/14/2020,0:55
10,236,6/12/2020,4:32
13,230,10/21/2019,19:21
17,181,6/25/2020,3:42
23,258,7/23/2020,14:16
1,62,7/19/2020,3:18
5,4,1/30/2020,8:26
6,151,6/27/2020,9:20
2,347,10/19/2019,7:59
25,50,8/5/2020,17:51
11,349,7/12/2020,10:46
7,45,10/30/2019,12:22
16,160,8/13/2020,3:20
21,300,9/7/2020,10:14
4,205,10/24/2019,21:43
4,250,12/14/2019,13:18
1,75,10/31/2019,19:47
25,123,10/4/2020,8:10
26,111,5/21/2020,13:36
28,250,11/12/2019,21:04
26,323,12/21/2019,8:52
3,164,5/3/2020,20:09
2,385,9/19/2020,18:49
23,24,7/1/2020,5:12
3,332,5/26/2020,0:02
28,75,9/23/2020,1:14
26,61,2/11/2020,11:21
3,39,9/25/2020,12:23
30,206,12/23/2019,13:32
14,306,3/11/2020,3:38
15,205,6/2/2020,17:21
27,267,6/27/2020,12:55
21,25,6/14/2020,8:21
6,74,2/20/2020,11:20
11,336,3/21/2020,18:05
16,88,4/27/2020,9:55
7,183,10/29/2019,5:40
25,365,9/25/2020,17:17
14,355,5/18/2020,12:16
23,101,4/11/2020,2:20
1,99,11/29/2019,16:37
5,337,7/2/2020,15:37
4,373,7/1/2020,23:36
18,42,1/23/2020,3:03
23,323,1/6/2020,7:34
16,302,8/22/2020,7:58
26,211,12/31/2019,18:25
20,330,8/2/2020,4:55
7,271,1/18/2020,0:22
9,175,1/17/2020,5:48
16,378,7/2/2020,18:19
29,396,9/13/2020,15:26
9,351,12/30/2019,6:17
5,288,11/20/2019,14:17
1,177,11/29/2019,2:53
15,334,5/16/2020,15:10
29,223,5/20/2020,10:42
21,278,2/12/2020,10:14
24,373,11/26/2019,19:35
14,252,7/8/2020,21:03
28,302,3/30/2020,23:56
26,31,12/25/2019,0:18
17,231,3/18/2020,13:34
29,182,4/18/2020,15:18
15,111,12/15/2019,17:53
6,308,4/15/2020,0:29
24,17,6/16/2020,4:38
15,4,8/8/2020,11:10
4,319,5/1/2020,9:23
26,333,1/12/2020,19:05
13,272,2/2/2020,13:35
16,38,12/19/2019,10:27
13,54,8/12/2020,5:46
11,203,5/27/2020,2:57
23,168,7/19/2020,20:22
9,101,4/21/2020,0:57
30,127,2/15/2020,17:15
16,175,2/18/2020,19:49
28,173,11/6/2019,20:58
23,21,7/9/2020,9:40
4,217,1/26/2020,7:48
13,135,12/9/2019,10:52
27,369,7/28/2020,8:44
27,53,10/24/2019,3:10
9,38,2/6/2020,3:03
11,119,3/2/2020,2:57
22,17,3/15/2020,20:27
24,257,6/1/2020,1:54
28,204,5/19/2020,2:42
28,7,5/17/2020,23:42
7,199,7/8/2020,3:06
28,392,5/12/2020,17:19
14,158,4/3/2020,11:51
16,300,4/22/2020,17:02
10,37,1/21/2020,14:38
25,377,2/11/2020,7:11
14,276,2/10/2020,0:39
3,119,5/22/2020,9:51
24,12,3/4/2020,19:27
11,142,3/18/2020,15:35
23,71,12/30/2019,22:38
30,58,5/26/2020,17:51
4,48,9/23/2020,19:08
21,303,7/25/2020,9:27
6,250,10/22/2019,9:09
21,1,8/12/2020,9:33
30,182,5/18/2020,20:39
4,20,8/19/2020,13:26
25,389,9/22/2020,17:34
17,51,8/9/2020,16:52
7,55,6/3/2020,19:16
21,308,10/1/2020,2:49
13,210,10/21/2019,20:28
17,290,5/15/2020,14:33
11,238,10/6/2020,12:08
7,39,4/1/2020,21:22
29,357,4/3/2020,21:00
24,25,4/1/2020,6:48
23,128,11/21/2019,5:37
12,302,4/9/2020,6:05
20,70,10/23/2019,14:57
20,155,10/15/2019,11:39
17,151,3/17/2020,12:29
27,160,7/24/2020,4:50
13,379,12/15/2019,10:12
14,258,1/26/2020,10:49
23,228,5/21/2020,12:19
18,343,10/4/2020,11:20
21,217,2/22/2020,13:02
8,372,12/1/2019,23:44
7,195,4/26/2020,1:33
3,318,10/16/2019,6:38
6,333,3/9/2020,4:24
7,35,8/30/2020,8:35
9,96,3/17/2020,18:30
2,203,12/26/2019,18:53
14,315,5/24/2020,21:22
7,69,8/2/2020,10:38
4,313,10/7/2020,0:39
1,126,5/12/2020,18:16
5,299,9/1/2020,2:52
11,291,5/18/2020,3:03
27,319,3/28/2020,11:18
17,265,8/1/2020,14:18
14,267,4/17/2020,5:47
13,177,1/4/2020,19:42
14,191,1/25/2020,18:32
18,271,10/25/2019,17:26
10,52,3/30/2020,7:41
26,34,4/10/2020,19:00
30,230,8/9/2020,3:57
23,334,4/20/2020,22:58
29,55,2/7/2020,5:40
26,200,11/15/2019,12:15
17,187,11/12/2019,12:07
27,72,6/29/2020,7:41
26,297,2/18/2020,22:21
13,117,6/25/2020,10:35
27,106,8/30/2020,17:37
7,283,4/12/2020,1:15
27,356,3/21/2020,16:44
9,45,6/11/2020,22:16
7,174,8/18/2020,1:32
17,224,9/20/2020,21:43
9,32,1/3/2020,7:04
10,259,2/27/2020,4:10
3,47,11/4/2019,10:55
28,345,10/30/2019,17:03
8,276,8/5/2020,17:11
7,368,2/13/2020,4:07
4,345,9/19/2020,11:20
28,133,11/9/2019,19:45
19,93,7/1/2020,10:03
26,384,10/15/2019,2:49
19,98,6/3/2020,6:36
7,150,1/10/2020,11:14
7,105,3/10/2020,1:44
14,299,8/17/2020,15:41
22,58,11/12/2019,15:50
15,399,2/25/2020,2:51
14,137,12/14/2019,16:11
22,49,7/30/2020,9:39
22,240,1/1/2020,7:16
30,43,9/12/2020,5:55
12,358,5/23/2020,4:18
11,393,7/19/2020,6:57
3,157,3/17/2020,11:40
29,378,1/10/2020,10:25
15,253,1/14/2020,20:42
5,115,1/6/2020,9:45
8,88,9/17/2020,4:55
26,364,4/26/2020,19:08
10,110,11/17/2019,19:03
15,260,4/12/2020,14:08
16,359,4/7/2020,12:07
5,214,4/11/2020,2:24
6,25,6/1/2020,2:17
2,69,4/13/2020,6:58
16,351,2/23/2020,21:09
25,328,9/18/2020,18:16
12,366,2/17/2020,10:22
14,90,3/15/2020,14:21
27,303,9/11/2020,22:05
18,91,2/22/2020,5:21
11,38,3/1/2020,7:29
6,388,4/19/2020,14:57
22,256,11/19/2019,20:10
14,193,11/2/2019,6:48
6,93,9/11/2020,20:58
11,32,3/17/2020,18:02
17,254,5/6/2020,10:11
20,158,12/23/2019,11:57
22,227,8/15/2020,13:51
27,294,2/19/2020,15:52
2,158,7/13/2020,20:31
20,193,8/20/2020,4:56
30,102,5/16/2020,14:09
21,41,4/22/2020,18:14
7,83,11/13/2019,19:27
4,262,7/25/2020,9:13
12,136,2/26/2020,16:06
17,363,7/6/2020,4:37
14,286,2/9/2020,0:36
6,166,11/3/2019,15:41
23,30,3/10/2020,18:20
7,6,6/30/2020,12:03
10,347,2/11/2020,2:01
28,378,3/1/2020,14:30
28,20,2/9/2020,6:51
14,282,9/9/2020,17:10
2,226,7/6/2020,14:53
10,130,8/31/2020,23:33
12,108,8/17/2020,22:30
2,390,11/20/2019,11:56
5,125,5/24/2020,18:28
29,332,6/3/2020,5:09
27,91,12/17/2019,2:23
27,287,4/30/2020,9:03
3,344,10/3/2020,8:08
17,135,4/21/2020,12:05
16,325,6/29/2020,22:30
20,32,4/8/2020,17:25
17,270,11/28/2019,17:10
14,264,5/19/2020,16:19
27,297,4/28/2020,17:17
14,228,10/15/2019,17:02
28,362,12/14/2019,10:45
17,78,8/20/2020,22:10
25,238,6/16/2020,11:19
12,78,12/25/2019,19:25
15,199,8/31/2020,12:24
6,170,4/27/2020,6:21
16,15,8/3/2020,23:36
2,64,6/12/2020,7:54
6,93,2/28/2020,8:14
12,372,12/4/2019,1:15
27,130,2/6/2020,16:19
10,390,4/21/2020,6:39
2,97,5/18/2020,16:13
11,249,1/12/2020,9:29
27,340,1/5/2020,16:25
23,326,2/14/2020,17:54
19,353,8/13/2020,21:04
20,256,5/10/2020,16:50
30,224,3/8/2020,17:28
1,394,9/14/2020,14:26
14,26,7/12/2020,14:45
21,176,6/12/2020,11:01
26,159,3/2/2020,4:26
4,162,5/17/2020,9:41
29,295,2/22/2020,11:25
18,77,4/20/2020,7:02
18,336,12/30/2019,11:45
3,392,10/25/2019,0:37
20,144,6/11/2020,20:55
9,257,8/10/2020,4:22
19,377,5/13/2020,7:59
24,41,5/19/2020,0:15
8,382,3/19/2020,17:05
29,386,3/27/2020,22:01
22,154,3/1/2020,8:00
13,387,1/13/2020,6:29
12,276,7/21/2020,19:03
23,393,10/26/2019,8:54
8,120,10/12/2019,17:43
29,303,11/8/2019,2:15
27,280,5/16/2020,15:15
3,241,5/13/2020,14:33
18,184,12/13/2019,13:53
1,289,7/6/2020,2:30
16,133,10/18/2019,7:47
16,93,10/10/2020,14:32
17,344,1/14/2020,18:25
13,81,6/25/2020,4:50
3,314,8/2/2020,8:07
25,38,12/16/2019,15:11
3,38,1/22/2020,15:16
19,355,9/22/2020,20:52
24,15,4/21/2020,2:39
2,284,7/29/2020,0:44
28,62,10/29/2019,17:02
26,186,1/5/2020,8:15
13,337,4/11/2020,4:24
8,32,4/24/2020,4:28
12,400,2/2/2020,0:41
12,107,10/3/2020,17:07
22,154,7/9/2020,9:32
10,192,7/6/2020,6:50
2,8,8/9/2020,17:52
25,207,4/22/2020,14:15
24,377,2/17/2020,18:34
22,126,6/15/2020,13:37
10,154,4/20/2020,22:50
11,287,4/2/2020,9:06
3,382,12/31/2019,6:33
23,92,11/3/2019,19:22
1,71,8/29/2020,18:54
25,131,10/13/2019,16:24
2,54,12/9/2019,18:49
12,317,9/30/2020,16:50
2,394,5/5/2020,3:45
24,192,6/30/2020,18:34
27,224,6/27/2020,6:53
8,27,8/16/2020,11:41
21,64,9/30/2020,3:12
4,43,1/17/2020,22:07
27,38,8/29/2020,14:17
9,213,1/5/2020,6:55
10,204,2/3/2020,14:27
6,152,8/29/2020,1:18
27,154,2/11/2020,10:43
28,221,2/7/2020,13:49
12,140,6/30/2020,1:12
3,346,6/11/2020,6:10
20,208,7/18/2020,23:34
19,18,8/21/2020,4:41
22,64,7/24/2020,15:55
18,259,8/16/2020,3:22
2,327,3/20/2020,5:21
4,240,6/28/2020,22:14
17,158,3/23/2020,21:26
9,209,12/6/2019,14:22
20,278,8/22/2020,1:14
25,205,12/1/2019,13:10
21,81,3/14/2020,18:17
25,110,11/18/2019,7:48
1,25,4/5/2020,19:43
14,271,3/10/2020,18:22
22,194,10/23/2019,21:57
20,65,12/27/2019,12:24
6,319,9/30/2020,15:40
20,19,3/4/2020,23:43
3,138,1/24/2020,22:18
23,90,2/28/2020,13:20
4,364,9/30/2020,11:55
24,171,8/15/2020,9:31
7,209,12/11/2019,11:18
4,284,10/15/2019,3:28
21,321,7/15/2020,14:14
5,215,1/22/2020,13:17
17,16,10/31/2019,0:54
21,256,6/23/2020,15:36
19,160,6/5/2020,20:17
4,368,10/10/2020,5:23
14,60,5/29/2020,3:46
23,141,3/12/2020,13:49
4,104,2/12/2020,0:49
16,77,3/12/2020,7:17
9,180,12/10/2019,5:38
4,127,6/3/2020,19:19
25,146,3/27/2020,2:09
22,364,12/22/2019,11:50
20,274,8/30/2020,6:42
22,68,12/13/2019,9:02
15,193,3/18/2020,10:55
26,71,1/12/2020,21:30
24,369,10/7/2020,6:18
20,18,9/16/2020,4:18
20,339,4/14/2020,13:37
10,238,5/26/2020,14:48
21,300,2/7/2020,21:41
27,91,10/27/2019,23:36
17,138,4/25/2020,4:54
26,39,8/6/2020,7:30
20,371,3/9/2020,20:55
30,224,3/10/2020,6:44
26,352,8/23/2020,0:53
16,303,10/24/2019,22:35
10,158,5/31/2020,16:15
27,328,3/12/2020,13:41
2,124,12/17/2019,1:42
18,398,2/22/2020,21:54
6,257,11/18/2019,17:21
10,297,11/13/2019,21:20
3,144,6/12/2020,19:27
22,262,11/20/2019,3:13
6,50,11/3/2019,1:02
24,222,10/10/2020,10:49
3,180,2/16/2020,20:24
18,74,4/22/2020,4:59
8,379,8/2/2020,5:13
16,296,11/7/2019,8:18
6,276,2/21/2020,12:58
15,92,8/11/2020,15:31
7,200,3/22/2020,19:38
4,301,12/10/2019,2:36
20,78,9/19/2020,11:04
29,260,3/29/2020,23:02
26,175,12/3/2019,17:07
10,45,8/30/2020,6:10
1,289,7/9/2020,12:00
10,283,11/17/2019,11:52
9,105,8/9/2020,21:34
12,236,2/16/2020,18:26
26,100,1/3/2020,21:58
19,57,6/7/2020,22:30
12,292,1/19/2020,20:07
28,179,2/3/2020,9:00
6,270,11/16/2019,23:22
29,130,3/14/2020,18:41
19,200,3/11/2020,2:25
2,120,4/29/2020,14:10
13,291,12/1/2019,23:23
21,237,3/1/2020,19:37
10,362,11/8/2019,0:00
23,353,9/25/2020,0:53
15,51,7/15/2020,3:44
2,232,3/14/2020,0:21
21,364,8/8/2020,2:53
23,82,3/23/2020,3:21
2,174,8/21/2020,21:18
17,235,8/24/2020,14:29
25,368,9/18/2020,20:10
30,148,5/23/2020,3:08
4,83,1/5/2020,22:48
16,114,7/12/2020,6:39
13,66,9/26/2020,19:39
15,129,10/28/2019,0:25
22,333,9/12/2020,10:46
7,10,3/27/2020,15:53
1,346,6/5/2020,14:44
30,221,4/22/2020,13:04
3,374,5/10/2020,7:32
19,317,4/17/2020,22:16
17,1,8/26/2020,8:39
15,191,5/17/2020,8:18
15,335,7/19/2020,7:14
24,30,2/6/2020,18:37
10,139,12/16/2019,4:48
15,245,7/25/2020,16:13
4,73,1/14/2020,19:36
5,210,12/30/2019,14:49
28,129,6/1/2020,6:41
3,109,7/19/2020,17:15
13,4,11/20/2019,18:01
27,231,7/6/2020,4:01
4,352,5/15/2020,9:08
15,133,12/11/2019,21:41
10,180,9/21/2020,19:08
11,281,4/14/2020,9:28
20,88,11/6/2019,4:40
16,310,10/7/2020,11:21
24,84,5/13/2020,13:26
3,361,12/15/2019,7:13
30,14,3/30/2020,14:22
6,99,9/20/2020,8:24
20,300,4/2/2020,2:22
20,332,9/19/2020,7:54
1,289,9/30/2020,7:28
7,87,4/9/2020,0:03
17,263,10/18/2019,19:19
22,169,12/11/2019,2:32
25,302,5/27/2020,7:50
18,376,2/17/2020,8:58
20,218,9/7/2020,7:00
29,326,9/3/2020,21:14
9,289,11/25/2019,16:14
19,151,1/28/2020,23:35
22,47,3/5/2020,4:19
10,20,1/4/2020,23:42
24,65,5/10/2020,13:19
26,206,6/28/2020,6:38
4,313,2/12/2020,19:24
7,341,3/26/2020,1:42
25,321,1/29/2020,2:50
5,214,10/11/2020,1:34
15,354,1/5/2020,7:55
6,13,2/24/2020,8:05
14,21,8/10/2020,9:57
12,276,7/23/2020,5:18
12,32,2/27/2020,1:32
21,84,9/11/2020,14:33
19,254,10/15/2019,0:30
26,16,11/17/2019,13:34
30,304,1/21/2020,21:55
3,116,5/26/2020,18:17
16,314,10/26/2019,13:21
19,271,11/3/2019,0:07
11,248,3/13/2020,13:40
19,294,9/29/2020,9:33
11,19,12/23/2019,20:44
29,153,6/17/2020,10:33
30,198,3/30/2020,3:53
3,158,5/11/2020,1:09
6,77,11/1/2019,16:20
4,38,9/13/2020,8:08
10,344,8/28/2020,16:42
13,4,7/11/2020,20:49
3,23,5/29/2020,16:14
27,42,1/6/2020,0:13
24,368,6/10/2020,6:48
25,235,4/10/2020,12:15
13,363,9/1/2020,9:09
25,253,2/21/2020,8:18
15,207,7/1/2020,10:24
22,206,8/19/2020,15:28
15,86,4/5/2020,6:47
13,32,3/13/2020,12:02
12,116,1/31/2020,7:17
29,192,6/8/2020,18:37
19,338,9/9/2020,8:39
5,172,3/28/2020,10:11
23,102,10/4/2020,22:56
16,361,12/22/2019,6:14
11,96,9/15/2020,2:21
9,196,8/24/2020,14:49
15,232,3/25/2020,11:56
7,128,9/25/2020,6:01
5,130,12/29/2019,12:39
10,47,12/4/2019,15:47
30,278,12/10/2019,21:44
6,334,12/13/2019,5:42
13,386,1/28/2020,11:58
10,163,2/23/2020,7:46
27,246,8/26/2020,6:24
10,301,9/28/2020,23:19
11,396,7/23/2020,1:49
19,150,6/8/2020,9:36
1,42,6/1/2020,2:41
18,389,1/9/2020,16:16
11,312,2/23/2020,15:19
1,137,3/5/2020,23:22
28,272,5/24/2020,15:22
1,302,10/21/2019,15:39
24,236,6/26/2020,12:52
11,263,4/18/2020,0:24
19,93,3/12/2020,16:23
4,202,10/5/2020,22:21
17,372,3/2/2020,23:26
16,192,5/26/2020,8:39
26,316,4/14/2020,11:39
5,342,2/5/2020,1:53
6,345,4/11/2020,18:03
27,233,3/7/2020,16:46
20,44,1/9/2020,4:49
21,300,3/16/2020,15:23
21,151,11/23/2019,17:36
5,343,9/10/2020,23:08
6,165,10/27/2019,2:55
30,100,12/18/2019,20:07
8,330,9/12/2020,21:12
30,117,5/19/2020,18:27
5,25,11/9/2019,1:27
27,145,6/30/2020,4:36
14,292,6/11/2020,20:42
20,189,1/2/2020,22:11
14,275,12/6/2019,23:19
20,272,12/24/2019,19:14
4,272,10/4/2020,4:11
12,190,11/9/2019,6:00
25,386,1/4/2020,11:13
20,335,7/12/2020,3:09
18,259,7/27/2020,20:38
17,39,2/2/2020,9:09
3,33,11/13/2019,15:43
20,94,2/18/2020,21:11
16,222,4/19/2020,15:12
30,368,12/6/2019,1:59
30,285,9/10/2020,16:21
7,132,6/25/2020,19:56
28,311,7/11/2020,11:35
6,53,12/29/2019,1:37
23,123,10/28/2019,15:55
23,352,12/6/2019,8:43
10,179,12/9/2019,20:56
7,119,10/13/2019,21:21
22,159,8/16/2020,13:47
17,148,9/2/2020,3:07
13,279,1/30/2020,21:43
7,271,7/15/2020,12:16
20,298,11/15/2019,4:42
19,205,12/11/2019,6:07
13,161,1/15/2020,6:22
29,301,10/13/2019,22:32
2,352,11/22/2019,22:50
13,387,8/1/2020,9:52
15,111,7/6/2020,15:10
4,203,10/2/2020,19:14
19,80,10/16/2019,22:18
5,170,6/25/2020,3:30
7,47,10/11/2020,11:06
7,172,1/12/2020,10:56
28,159,6/6/2020,13:06
11,76,7/12/2020,13:41
20,306,5/18/2020,5:53
25,145,9/12/2020,17:35
21,268,5/14/2020,3:59
15,304,4/29/2020,18:41
13,76,9/5/2020,12:32
7,336,5/28/2020,20:12
