DIRECTORIO	FEX_C	REGION	DIA_REFERENCIA_2	clase	P424	P4030S1	P4030S1A1	P4030S5	P4030S3	P4030S4	P4030S4A1	P4030S2	P4020
2915716	60.5023605987793	2	5	1	1	1	3	1	1	1	3	2	3
2915717	60.8225694301093	2	5	1	1	1	3	1	1	1	3	2	3
2915720	102.808609452383	2	4	1	1	1	1	1	1	1	3	1	6
2915721	53.9839389194743	2	8	1	1	1	1	1	1	1	3	1	6
2915722	82.297063038284	2	4	1	1	1	1	1	1	1	3	1	3
2915723	425.36306173948	3	8	1	2	1	3	1	1	1	7	1	3
2915724	298.01097193624	3	3	1	2	1	3	1	1	1	7	2	3
2915726	149.6186772684	3	4	1	2	1	4	1	1	1	3	1	3
2915727	136.982436552311	3	4	1	2	1	3	1	1	1	3	1	3
2915728	396.270620026329	3	8	1	2	1	3	1	1	1	7	1	3
2915729	262.331652161768	3	3	1	2	1	3	1	1	1	7	2	3
2915730	149.6186772684	3	4	1	2	1	3	1	1	1	6	1	3
2915731	121.648956624819	3	4	1	2	1	3	1	1	1	7	1	3
2915732	90.0707809179892	3	4	1	2	1	3	1	1	1	7	1	3
2915733	425.639835715395	3	8	1	1	1	2	1	1	1	3	2	6
2915734	244.652203850354	3	3	1	1	1	2	1	1	1	3	2	3
2915735	378.1897160191	3	8	1	1	1	2	1	1	1	3	2	3
2915736	161.112588238503	3	3	1	1	1	2	1	1	1	3	2	3
2915737	324.494615126837	3	3	1	1	1	2	1	1	1	3	1	3
2915738	121.495733422742	4	4	1	1	1	3	2	2	1	3	2	3
2915741	87.881031912934	4	4	1	1	1	1	2	2	1	3	2	3
2915743	113.367755698462	4	4	1	1	1	1	2	2	1	3	2	3
2915746	108.684391625628	4	7	1	1	1	2	1	1	1	3	2	3
2915747	62.5642809100461	4	1	1	1	1	1	1	2	1	3	2	3
2915748	159.194572842478	4	6	1	2	1	1	2	2	1	3	2	5
2915749	378.447558326712	2	1	1	2	1	4	1	1	1	2	1	3
2915750	180.99284721657	2	8	1	2	1	4	1	1	1	2	1	3
2915751	153.298560547931	2	8	1	2	1	4	1	1	1	2	1	3
2915753	330.049119472093	2	1	1	2	1	4	1	1	1	2	1	3
2915754	319.420211232386	2	1	1	2	1	4	1	1	1	2	1	3
2915755	439.74454784519	2	1	1	2	1	4	1	1	1	2	1	3
2915756	149.191936909862	2	8	1	2	1	4	1	1	1	2	1	3
2915757	171.927221896449	2	8	1	2	1	4	1	1	1	2	1	3
2915758	98.6620485772155	2	8	1	2	1	4	1	1	1	2	1	4
2915759	107.085693039394	2	8	1	1	1	2	1	1	1	3	1	3
2915760	94.4907972139017	2	8	1	1	1	2	1	1	1	3	1	1
2915761	120.12639382157	2	3	1	1	1	2	1	1	1	3	1	3
2915762	131.968010139585	2	3	1	1	1	2	1	1	1	3	1	3
2915763	272.364655385423	2	4	1	1	1	2	1	1	1	3	1	6
2915764	282.365179295865	2	6	1	1	1	2	1	1	1	3	2	7
2915765	302.701082655585	2	6	1	1	1	2	1	1	1	3	1	3
2915766	386.807079945196	2	6	1	1	1	2	1	1	1	3	1	6
2915767	157.195047098528	2	4	1	1	1	2	1	1	1	3	1	6
2915768	136.903790226305	2	5	1	1	1	2	1	1	1	3	1	5
2915769	179.784091682711	2	5	1	2	1	2	1	1	1	3	1	6
2915770	173.081560116112	2	4	1	1	1	2	1	1	1	3	1	1
2915771	276.472543375131	2	4	1	1	1	2	1	1	1	3	1	3
2915772	217.587456397608	2	4	1	2	1	2	1	1	1	3	1	6
2915775	189.646711406657	2	8	1	2	1	2	1	1	1	2	1	3
2915777	460.613439731276	2	1	1	1	1	3	1	1	1	2	2	3
2915779	171.139737096914	2	8	1	1	1	2	1	1	1	2	1	3
2915780	140.603732649407	2	8	1	1	1	2	2	1	1	2	1	6
2915782	197.540817104443	2	8	1	2	1	4	1	1	1	2	2	3
2915784	184.296566948947	2	8	1	2	1	4	1	1	1	2	1	3
2915785	155.963936393831	2	3	1	1	1	4	1	1	1	2	1	3
2915786	158.052683898882	2	3	1	2	1	4	1	1	1	2	1	3
2915787	98.4479350894929	4	6	1	1	1	1	2	2	1	2	2	6
2915791	85.9199768180954	4	8	1	1	1	1	2	2	1	3	2	3
2915792	93.7187797453398	4	3	1	1	1	1	2	2	1	3	2	6
2915793	113.629000583229	4	4	1	1	1	1	2	2	1	3	2	3
2915796	154.903451145907	3	6	1	1	1	3	1	1	1	3	1	3
2915798	73.5950822387462	3	4	1	2	1	3	1	1	1	3	1	3
2915799	64.9118070802363	3	4	1	1	1	3	1	1	1	3	1	3
2915800	181.11483540597	3	6	1	1	1	3	1	1	1	3	1	3
2915801	124.386987783448	3	3	1	1	1	1	2	1	1	2	1	6
2915802	55.300193893335	3	4	1	2	1	3	1	1	1	2	2	3
2915803	62.4494341958052	3	4	1	1	1	3	1	1	1	3	1	3
2915804	31.171028639422	3	5	1	1	1	3	1	1	1	3	1	3
2915805	4.817697797322	6	8	1	1	1	1	2	2	1	3	2	6
2915806	11.101651981121	6	5	1	1	1	1	2	2	1	3	2	6
2915807	24.1269556294804	6	6	1	1	1	1	2	2	1	3	2	6
2915808	10.9843509778942	6	6	1	1	1	1	2	2	1	3	2	6
2915809	13.1675283362037	6	6	1	1	1	1	2	2	1	3	2	3
2915810	7.22367113311178	6	8	1	1	1	1	1	2	1	3	2	3
2915811	9.33047503921763	6	8	1	2	1	1	2	2	1	3	2	3
2915812	11.2188778927317	6	8	1	1	1	1	2	2	1	3	2	6
2915813	3.59899578076926	6	8	1	1	1	1	2	2	1	3	2	6
2915814	3.45419842072143	6	3	1	2	1	2	2	2	1	3	2	6
2915815	13.8050934244018	6	4	1	1	1	1	1	2	1	3	2	6
2915816	14.0004540608677	6	4	1	3	1	1	2	2	1	3	2	6
2915817	4.29011109172993	6	3	1	2	1	1	2	2	1	3	2	6
2915818	76.2727654244309	4	3	2	2	1	2	1	2	2		2	3
2915819	142.699543968611	4	3	2	2	1	2	1	2	2		2	6
2915820	76.8709304631127	4	4	2	1	1	1	1	2	2		2	3
2915821	90.6868328971288	4	4	2	1	1	1	1	2	2		2	6
2915822	87.9731080988979	4	3	2	1	1	2	1	2	1	3	2	3
2915823	75.9636213025022	4	4	2	1	1	1	1	2	2		2	6
2915824	87.7107094642074	4	4	2	1	1	1	1	2	2		2	6
2915825	137.507883225622	2	5	1	2	1	1	1	1	1	3	2	3
2915826	157.512237777533	2	5	1	2	1	1	1	1	1	3	1	3
2915827	179.879706083747	2	5	1	2	1	1	1	1	1	3	1	3
2915829	193.175007593917	2	5	1	2	1	1	1	1	1	3	1	3
2915830	147.411183028555	2	5	1	2	1	1	1	1	1	3	1	3
2915831	50.85279732643	4	7	1	1	1	1	2	2	1	3	2	5
2915832	184.76337808465	4	6	1	1	1	1	2	2	1	3	2	5
2915833	78.703252908872	2	7	1	1	1	2	1	1	1	3	1	3
2915834	400.331593493438	2	6	1	1	1	2	1	1	1	3	1	6
2915835	54.6997518964102	2	7	1	1	1	2	1	1	1	3	1	3
2915836	282.575558425035	2	6	1	1	1	2	1	1	1	3	1	3
2915837	102.774261755856	2	7	1	1	1	2	1	1	1	3	1	3
2915838	254.199651907876	3	3	1	3	1	1	1	1	1	3	1	3
2915839	236.618055532605	3	3	1	2	1	1	1	2	1	3	1	3
2915840	68.907529641698	3	5	1	1	1	2	1	1	1	3	1	3
2915841	2306.8553025611	1	5	2	4	2		2	2	2		2	7
2915843	1423.78329649637	1	6	2	4	2		2	2	2		2	7
2915845	2029.25542866064	1	5	2	4	2		2	2	2		2	7
2915846	946.840840410908	1	6	2	1	2		2	2	2		2	7
2915847	1132.61987222976	1	6	2	1	2		2	2	2		2	7
2915848	62.7709886233454	2	5	1	1	1	3	1	1	1	3	1	3
2915849	284.917495250814	2	4	1	2	1	2	1	1	1	2	1	3
2915850	340.265907973923	2	4	1	2	1	2	1	1	1	3	1	3
2915851	179.948774868514	2	5	1	1	1	2	1	1	1	3	1	6
2915852	126.040358752227	2	8	1	1	1	1	1	1	1	3	1	6
2915853	197.847995141714	2	5	1	1	1	1	1	1	1	3	1	6
2915854	211.146368632834	2	6	1	1	1	2	1	1	1	3	1	7
2915856	138.6978331008	2	7	1	1	1	1	1	1	1	1	2	2
2915857	113.862529557952	2	7	1	1	1	1	1	1	1	1	1	3
2915858	150.001548833915	4	7	1	2	1	2	1	1	1	3	2	4
2915859	150.877586990684	4	7	1	2	1	2	1	1	1	3	2	3
2915860	115.318321605847	4	7	1	2	1	2	1	1	1	3	2	3
2915861	249.591426193878	3	3	1	1	1	1	1	1	1	3	1	6
2915862	196.542102640846	3	4	1	1	1	1	1	1	1	3	1	3
2915863	75.3687878522463	3	4	1	1	1	1	1	1	1	3	1	3
2915864	93.76490675532	3	5	1	1	1	1	1	1	1	3	1	3
2915865	112.922589494359	3	5	1	1	1	1	1	1	1	3	1	3
2915866	82.399699460313	3	5	1	1	1	1	1	1	1	3	1	3
2915867	87.6333660691625	3	5	1	1	1	1	1	1	1	3	1	3
2915869	248.798504695974	3	6	1	1	1	1	1	1	1	3	2	6
2915871	96.8361390469365	3	5	1	2	1	3	1	1	1	3	1	3
2915872	81.4219128249085	3	5	1	2	1	3	1	1	1	3	1	3
2915874	100.809541024024	3	4	1	1	1	1	1	1	1	3	1	3
2915875	127.461425108877	3	4	1	1	1	1	1	1	1	3	1	3
2915876	85.2939110371465	3	4	1	1	1	1	1	1	1	2	1	6
2915877	122.392409690882	3	4	1	1	1	1	1	1	1	3	1	6
2915879	76.1750764077514	3	5	1	1	1	1	1	1	1	2	1	6
2915880	84.8754027331594	3	5	1	1	1	1	1	1	1	3	1	3
2915881	120.575204516076	3	5	1	1	1	1	1	1	1	3	1	3
2915883	259.167525488359	3	3	1	1	1	1	1	1	1	3	1	6
2915884	114.068173608215	3	5	1	1	1	3	1	1	1	3	1	3
2915885	78.2853802834912	3	5	1	2	1	3	1	1	1	3	1	3
2915886	103.751051560783	3	4	1	1	1	1	2	2	1	3	1	3
2915887	119.107142425283	3	4	1	1	1	1	1	1	1	3	1	3
2915888	115.132235630592	3	4	1	1	1	1	1	1	1	3	1	6
2915889	45.5388534659108	3	5	1	1	1	1	1	1	1	3	1	3
2915890	96.653731888522	3	5	1	1	1	2	1	1	1	3	1	3
2915891	104.534699052086	3	5	1	1	1	1	1	1	1	3	1	3
2915892	98.1870342533836	3	5	1	1	1	1	1	1	1	3	1	3
2915893	84.086071599151	3	5	1	2	1	3	1	1	1	3	1	3
2915894	59.5154157954579	3	5	1	2	1	3	1	1	1	3	1	3
2915895	172.427191160243	2	8	1	2	1	2	1	1	1	3	1	6
2915901	229.888134456063	1	4	1	2	1	5	1	1	1	3	1	3
2915902	291.111019563847	1	4	1	2	1	5	1	1	1	3	1	3
2915903	274.534763030573	1	4	1	2	1	5	1	1	1	3	1	3
2915904	398.4401822425	1	4	1	2	1	1	1	1	1	3	1	6
2915905	194.781563674136	1	5	1	1	1	1	1	1	1	3	1	6
2915906	356.218394179311	1	4	1	1	1	1	1	1	1	3	1	3
2915908	4.7765376759031	6	8	1	1	1	2	2	2	1	3	1	6
2915909	5.95418824239804	6	3	1	1	1	2	2	2	1	3	2	3
2915910	12.4661123286333	6	4	1	1	1	2	2	2	1	3	1	3
2915911	8.82935572096735	6	4	1	1	1	1	2	2	1	3	1	6
2915912	13.2053444225021	6	4	1	1	1	1	2	2	1	3	2	6
2915913	11.0830408180706	6	5	1	1	1	1	2	2	1	3	1	6
2915914	10.442581644394	6	5	1	1	1	2	2	2	1	3	1	6
2915915	6.53081492800924	6	5	1	1	1	1	2	2	1	3	1	3
2915916	27.4788010972966	6	6	1	1	1	2	2	2	2		2	3
2915917	14.005621756164	6	6	1	1	1	1	2	2	1	3	1	6
2915918	5.28319021164817	6	3	1	3	1	2	2	2	1	3	2	3
2915919	15.3275444958447	6	5	1	1	1	2	2	2	1	3	2	3
2915921	4.70419333155974	6	3	1	1	1	2	1	2	1	3	2	3
2915922	10.6486701862253	6	4	1	1	1	2	2	2	1	3	2	3
2915923	6.28815743357467	6	5	1	1	1	2	2	2	1	3	2	6
2915925	4.817697797322	6	8	1	2	1	2	2	1	1	3	1	3
2915926	4.817697797322	6	8	1	1	1	2	2	2	1	3	1	6
2915927	7.36866003203561	6	8	1	1	1	1	2	2	1	2	1	3
2915928	7.09517017392492	6	8	1	1	1	1	2	2	1	3	1	6
2915930	7.75200760550405	6	3	1	1	1	2	2	2	1	3	2	3
2915931	2.69708083840455	6	3	1	1	1	1	2	2	1	3	1	3
2915932	5.28319021164817	6	3	1	3	1	2	2	2	1	3	2	3
2915935	59.3730602307622	4	7	1	1	1	1	2	2	1	3	2	3
2915936	95.4605803453252	2	4	1	1	1	1	1	1	1	3	1	6
2915937	159.712441841778	2	1	1	2	1	1	1	1	1	3	1	3
2915938	132.656094276976	2	1	1	2	1	1	1	1	1	3	1	3
2915940	170.244223163139	2	1	1	2	1	1	1	1	1	3	1	3
2915942	136.848490114036	2	1	1	2	1	1	1	1	1	3	1	3
2915943	134.381527913633	2	7	1	1	1	2	1	1	1	2	1	3
2915944	128.182695369462	2	7	1	1	1	2	1	1	1	2	1	3
2915945	152.069886160945	2	1	1	2	1	2	1	1	1	3	1	3
2915946	157.947844895892	2	1	1	2	1	3	1	1	1	3	1	3
2915947	157.947844895892	2	1	1	2	1	3	1	1	1	3	1	3
2915948	175.556660756887	2	1	1	2	1	3	1	1	1	3	1	3
2915949	185.636014498298	2	7	1	1	1	1	1	1	1	2	1	6
2915950	173.20261941221	2	3	1	1	1	2	1	2	1	2	1	6
2915952	313.318108419562	2	5	1	2	1	4	1	1	1	2	1	3
2915953	200.467036015582	2	5	1	2	1	4	1	1	1	2	1	3
2915954	398.397304584488	2	5	1	2	1	4	1	1	1	2	1	3
2915955	341.260488693036	2	5	1	2	1	4	1	1	1	2	1	3
2915957	263.664698808223	2	3	1	1	1	2	1	1	1	2	1	6
2915958	232.975121156093	2	3	1	2	1	2	1	1	1	2	1	6
2915959	180.999019198048	2	3	1	2	1	2	1	1	1	2	2	3
2915960	572.236799529212	2	4	1	1	1	2	1	1	1	2	1	3
2915961	334.906599197443	2	5	1	2	1	4	1	1	1	2	1	3
2915963	162.467025658901	2	3	1	2	1	2	1	2	1	2	1	3
2915965	339.76468031017	2	5	1	1	1	2	1	1	1	2	2	3
2915966	324.490796038373	2	5	2	1	1	2	2	2	2		2	1
2915967	341.752853927114	2	5	2	1	1	2	2	2	2		2	3
2915968	341.752853927114	2	5	2	1	1	4	2	2	2		2	3
2915969	225.442716824121	2	5	2	1	1	2	2	2	2		2	3
2915970	263.533760763158	2	5	2	1	1	2	2	2	2		2	6
2915971	404.280569574708	2	5	2	1	1	2	2	2	2		2	3
2915972	326.239008990531	2	5	2	1	1	1	2	2	2		2	6
2915973	165.35653615938	4	7	1	2	1	2	1	1	1	3	2	3
2915974	475.023887302949	4	3	1	2	1	2	1	1	1	3	1	3
2915975	339.830211131708	4	3	1	2	1	2	1	1	1	3	1	3
2915976	562.567650868046	4	4	1	1	1	2	1	1	1	3	2	3
2915977	492.90942690925	4	3	1	2	1	2	1	1	1	2	1	3
2915978	1000.58666973918	4	5	1	2	1	2	1	1	1	2	1	3
2915979	1474.35469522925	4	5	1	2	1	2	1	1	1	3	1	3
2915981	218.324201645175	4	1	1	3	1	2	1	1	1	2	2	6
2915982	471.359479524088	4	3	1	2	1	2	1	1	1	3	1	3
2915983	964.290824453007	4	4	1	1	1	1	1	1	1	3	1	3
2915984	816.855476147979	4	4	1	1	1	1	1	1	1	3	1	3
2915985	475.07279315082	4	8	1	2	1	2	1	1	1	3	1	3
2915987	381.746494758598	4	1	1	2	1	1	1	1	1	3	2	6
2915988	370.720946856632	4	8	1	1	1	2	1	1	1	3	1	6
2915989	578.177023994274	4	3	1	2	1	2	1	1	1	3	1	3
2915990	688.525152386702	4	4	1	2	1	1	1	1	1	3	1	3
2915991	1698.53948840928	4	5	1	1	1	1	1	1	1	3	2	6
2915992	616.706694005279	4	3	1	2	1	1	1	1	1	3	2	6
2915994	440.132923444607	4	8	1	1	1	5	1	1	1	3	2	3
2915995	331.307335358736	5	8	1	2	1	2	1	1	1	3	1	3
2915996	405.315512549955	5	3	1	2	1	4	1	1	1	2	1	2
2915999	151.222842129402	5	7	1	2	1	2	1	1	1	3	1	3
2916001	178.905674558111	5	7	1	2	1	2	1	1	1	3	1	3
2916002	190.715304222595	5	1	1	2	1	2	1	1	1	3	1	3
2916004	332.475157632241	5	4	1	2	1	4	1	1	1	3	1	3
2916005	387.224030920897	5	4	1	2	1	4	1	1	1	3	1	3
2916006	375.114483736989	5	4	1	2	1	4	1	1	1	3	1	3
2916007	412.913204639046	5	4	1	2	1	4	1	1	1	3	1	3
2916008	157.398003280904	5	7	1	2	1	2	1	1	1	3	1	3
2916009	152.045953000017	5	1	1	1	1	2	1	1	1	3	1	4
2916010	358.964243090148	5	8	1	2	1	2	1	1	1	3	1	3
2916011	556.778985442677	5	5	1	2	1	4	1	1	1	2	1	3
2916012	440.794208386376	5	5	1	2	1	4	1	1	1	3	1	3
2916013	440.794208386376	5	5	1	2	1	4	1	1	1	3	1	3
2916014	426.357568224453	5	5	1	2	1	4	1	1	1	3	1	3
2916016	151.222842129402	5	7	1	1	1	2	1	1	1	3	1	3
2916018	179.981135821136	5	1	1	2	1	2	1	1	1	3	1	3
2916019	447.187501755016	5	3	1	1	1	2	1	1	1	3	1	6
2916020	470.455939304688	5	4	1	3	1	2	1	1	1	3	1	4
2916021	431.426142313108	5	4	1	3	1	2	1	1	1	3	1	3
2916022	444.944317535313	5	5	1	3	1	2	1	1	1	3	1	3
2916023	517.045343490589	5	5	1	2	1	2	1	1	1	3	1	3
2916024	205.376648405551	5	1	1	2	1	2	1	1	1	3	1	5
2916025	190.92699131731	5	1	1	2	1	2	1	1	1	3	1	3
2916026	282.580152494497	5	8	1	1	1	2	1	1	1	3	1	5
2916027	466.003540416012	5	3	1	3	1	2	1	1	1	3	1	6
2916028	170.592136808143	5	7	1	2	1	2	1	1	1	2	1	5
2916030	151.222842129402	5	7	1	2	1	2	1	1	1	3	1	3
2916031	182.461090493109	5	1	1	2	1	2	1	1	1	3	1	3
2916032	151.487244380259	5	1	1	2	1	2	1	1	1	3	1	3
2916033	181.792904537338	5	1	1	2	1	2	1	1	1	3	1	6
2916034	402.205238773565	5	4	1	3	1	2	1	1	1	3	1	3
2916035	427.736722384012	5	5	1	3	1	2	1	1	1	3	1	3
2916038	196.563726056306	5	1	1	2	1	2	1	1	1	3	1	6
2916039	395.908754078017	5	3	1	1	1	2	1	1	1	3	1	6
2916040	542.86488802822	5	5	1	1	1	2	1	1	1	3	2	3
2916041	527.659510149529	5	6	1	1	1	2	1	1	1	3	1	3
2916044	195.282979968646	5	7	1	2	1	2	1	1	1	3	1	3
2916045	528.083632526878	5	6	1	3	1	2	1	1	1	3	1	3
2916046	157.713850570074	5	7	1	1	1	2	1	1	1	3	1	3
2916048	158.618917582424	5	1	1	1	1	2	1	1	1	3	1	6
2916049	331.340343081353	5	8	1	1	1	2	1	1	1	3	1	6
2916050	612.335506821494	5	3	1	1	1	2	1	1	1	3	2	6
2916051	438.737006234134	5	6	1	1	1	2	1	1	1	3	1	6
2916052	542.697518951761	5	6	1	2	1	2	1	1	1	3	1	3
2916054	165.589879943456	5	1	1	3	1	1	1	1	1	3	1	4
2916055	306.56545951687	5	8	1	3	1	2	1	1	1	3	1	3
2916056	306.644956711756	5	8	1	2	1	2	1	1	1	3	1	3
2916057	158.824579813007	5	7	1	1	1	2	1	1	1	3	1	3
2916058	480.27060155751	5	3	1	2	1	1	1	1	1	3	1	6
2916059	411.521961777149	5	3	1	1	1	1	1	1	1	3	1	6
2916060	436.018442995121	5	4	1	2	1	1	1	1	1	3	1	3
2916061	548.879485968834	5	5	1	3	1	1	1	1	1	3	1	6
2916062	496.430304517775	5	6	1	2	1	1	1	1	1	3	1	3
2916065	163.514576958095	5	7	1	2	1	2	1	1	1	3	1	3
2916066	470.455939304688	5	4	1	1	1	1	1	1	1	3	1	3
2916067	465.85255574993	5	3	1	1	1	1	1	1	1	3	1	6
