id_actividad,Name,description,Location,Address ,Date,Hour,Image,Category,Cost
11,Capital Equipment,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Kowang Utara,6825 Butternut Trail,02/20/2020,12:28,https://robohash.org/voluptasestadipisci.png?size=50x50&set=set1,Outdoors,0
12,Research,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Xinmin,70604 American Street,09/28/2020,10:39,https://robohash.org/etnihilcumque.bmp?size=50x50&set=set1,Inside,1
13,FTL,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Danxi,13773 Gerald Alley,12/23/2019,2:52,https://robohash.org/estinprovident.bmp?size=50x50&set=set1,Inside,1
14,EPiServer,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Vondrozo,1548 Lighthouse Bay Road,07/08/2020,9:43,https://robohash.org/maximesitqui.jpg?size=50x50&set=set1,Inside,1
15,JVM,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,Seremban,65 Namekagon Hill,12/07/2019,7:09,https://robohash.org/etetest.png?size=50x50&set=set1,Outdoors,1
16,CCIP,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,Serang,1 Hintze Junction,08/24/2020,15:27,https://robohash.org/estpariaturaut.png?size=50x50&set=set1,Outdoors,1
17,DBAccess,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Tsagaandörvölj,92723 Bluestem Avenue,07/16/2020,16:15,https://robohash.org/expeditadistinctioest.jpg?size=50x50&set=set1,Outdoors,1
18,Sleep Apnea,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Uyugan,4932 Portage Junction,09/18/2020,9:42,https://robohash.org/assumendacorporistenetur.jpg?size=50x50&set=set1,Outdoors,1
19,Yellow Belt,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,Smålandsstenar,3 Thierer Pass,03/20/2020,23:22,https://robohash.org/laborumaliasenim.png?size=50x50&set=set1,Inside,1
20,IPSec,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Senador Pompeu,202 East Street,02/11/2020,2:18,https://robohash.org/distinctioatqueoptio.jpg?size=50x50&set=set1,Outdoors,1
21,HF,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,Caldono,1 Merrick Terrace,10/03/2020,6:30,https://robohash.org/etvoluptatemaccusamus.bmp?size=50x50&set=set1,Outdoors,1
22,Water Quality,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Hexi,36736 Bobwhite Avenue,06/01/2020,4:46,https://robohash.org/abnostrumest.jpg?size=50x50&set=set1,Outdoors,1
23,Mystery Shopping,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Magtaking,25 Leroy Street,09/03/2020,18:32,https://robohash.org/fugaminusvoluptatibus.jpg?size=50x50&set=set1,Inside,0
24,Recombinant DNA,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Kholbon,3 Warrior Lane,01/02/2020,0:15,https://robohash.org/etmolestiaetempore.bmp?size=50x50&set=set1,Outdoors,1
25,Fedora,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Ciilat,6269 Glendale Circle,09/16/2020,9:09,https://robohash.org/estoditlaboriosam.png?size=50x50&set=set1,Outdoors,1
26,Consumer Electronics,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Tanbuqiao,3446 Farmco Hill,12/21/2019,6:54,https://robohash.org/quilaboresunt.jpg?size=50x50&set=set1,Inside,1
27,Risk Analysis,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Touama,8 Huxley Trail,03/31/2020,23:46,https://robohash.org/laboriosamenimrerum.bmp?size=50x50&set=set1,Outdoors,1
28,SGW,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Paris La Défense,84272 Sunnyside Avenue,05/08/2020,11:57,https://robohash.org/iurenatusillum.bmp?size=50x50&set=set1,Outdoors,1
29,WDS,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Mnichovo Hradiště,10 Nova Road,03/11/2020,19:34,https://robohash.org/velitutet.bmp?size=50x50&set=set1,Inside,1
30,MMS,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Basud,0585 6th Plaza,06/07/2020,5:56,https://robohash.org/nobisconsequunturquos.jpg?size=50x50&set=set1,Outdoors,1
